         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30934    0.837    0.000    0.885    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:142(extract_row)
   190511    0.879    0.000    0.879    0.000 {method 'search' of 're.Pattern' objects}
        4    0.000    0.000    0.875    0.219 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:1758(_chmod_and_move)
     3248    0.023    0.000    0.866    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:1198(update)
       46    0.000    0.000    0.832    0.018 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/contextlib.py:130(__enter__)
     3250    0.010    0.000    0.826    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:1325(refresh)
     3257    0.009    0.000    0.798    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:1464(display)
        7    0.000    0.000    0.775    0.111 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/pathlib.py:1162(touch)
        7    0.000    0.000    0.775    0.111 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/pathlib.py:316(touch)
  4970996    0.745    0.000    0.745    0.000 {built-in method builtins.iter}
        8    0.000    0.000    0.701    0.088 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/utils/_fixes.py:86(WeakFileLock)
        4    0.000    0.000    0.692    0.173 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/filelock/_api.py:271(acquire)
        4    0.000    0.000    0.692    0.173 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/filelock/_unix.py:39(_acquire)
        4    0.000    0.000    0.670    0.168 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:665(_create_symlink)
    30934    0.021    0.000    0.664    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:222(decode_row)
  4971195    0.662    0.000    0.662    0.000 {method 'pop' of 'dict' objects}
    33205    0.023    0.000    0.651    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/re.py:222(split)
    20/16    0.000    0.000    0.645    0.040 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/pathlib.py:1168(mkdir)
    30934    0.039    0.000    0.643    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/features/features.py:2078(decode_example)
       64    0.641    0.010    0.641    0.010 {method '__exit__' of '_io._IOBase' objects}
    33205    0.607    0.000    0.607    0.000 {method 'split' of 're.Pattern' objects}
   132741    0.137    0.000    0.603    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_core/documents/base.py:296(__init__)
       70    0.601    0.009    0.601    0.009 {built-in method io.open}
       23    0.000    0.000    0.593    0.026 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/pathlib.py:1109(open)
    30934    0.053    0.000    0.579    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/features/features.py:2092(<dictcomp>)
   101831    0.130    0.000    0.555    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/base.py:105(_join_docs)
   185604    0.383    0.000    0.527    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/utils/py_utils.py:331(zip_dict)
     3257    0.012    0.000    0.519    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:1150(__str__)
     9763    0.009    0.000    0.513    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/utils.py:378(disp_len)
     9763    0.008    0.000    0.495    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/utils.py:374(_text_width)
     3257    0.091    0.000    0.488    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/std.py:464(format_meter)
     9763    0.119    0.000    0.487    0.000 {built-in method builtins.sum}
   132741    0.124    0.000    0.466    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_core/load/serializable.py:113(__init__)
     12/9    0.000    0.000    0.461    0.051 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/os.py:200(makedirs)
        4    0.000    0.000    0.453    0.113 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:89(are_symlinks_supported)
101928/101812    0.183    0.000    0.429    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/copy.py:128(deepcopy)
       15    0.000    0.000    0.427    0.028 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/requests/sessions.py:500(request)
        2    0.402    0.201    0.402    0.201 {built-in method posix.replace}
    24/10    0.000    0.000    0.394    0.039 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:264(_request_wrapper)
       14    0.000    0.000    0.393    0.028 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/utils/_http.py:213(http_backoff)
       15    0.000    0.000    0.385    0.026 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/requests/sessions.py:673(send)
       15    0.000    0.000    0.370    0.025 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/utils/_http.py:91(send)
       15    0.000    0.000    0.370    0.025 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/requests/adapters.py:590(send)
   102822    0.368    0.000    0.369    0.000 {method 'join' of 'str' objects}
  1452701    0.262    0.000    0.367    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/tqdm/utils.py:375(<genexpr>)
       15    0.000    0.000    0.363    0.024 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/urllib3/connectionpool.py:592(urlopen)
       15    0.000    0.000    0.358    0.024 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/urllib3/connectionpool.py:377(_make_request)
   132741    0.084    0.000    0.342    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pydantic/main.py:243(__init__)
       36    0.000    0.000    0.337    0.009 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/socket.py:691(readinto)
       36    0.000    0.000    0.337    0.009 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/ssl.py:1262(recv_into)
       36    0.000    0.000    0.337    0.009 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/ssl.py:1120(read)
       36    0.337    0.009    0.337    0.009 {method 'read' of '_ssl._SSLSocket' objects}
       15    0.000    0.000    0.323    0.022 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/urllib3/connection.py:534(getresponse)
       15    0.000    0.000    0.320    0.021 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/http/client.py:1324(getresponse)
       15    0.000    0.000    0.319    0.021 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/http/client.py:310(begin)
